date,max_temp,min_temp
2026-07-20,20.7,13.0
2026-07-21,14.4,12.3
2026-07-22,20.4,10.9
2026-07-23,20.2,10.9
2026-07-24,21.3,11.2
2026-07-25,23.4,11.7
2026-07-26,24.7,17.6
